,Unnamed: 0,test_size,random_state,best_n,best_ACC,best_AUC
0,0.0,0.2,0,"[5, [1.0, 1.0]]",[,8
1,,0.2,1,"[2, [0.8571428571428571, 0.875]]",[,3
