time,value
3.80525,176789
3.81458,220618
3.82393,382780
3.83327,576713
3.8426,551120
3.85195,361017
3.86128,215583
3.87062,143427
3.87997,109939
3.8893,93896
3.89865,88793
3.90798,95674
3.91732,98629
3.92667,96210
3.936,97901
3.94533,157439
3.95468,196222
3.96402,184218
3.97335,154579
3.9827,117077
3.99203,91600
4.00137,76589
4.01072,70907
4.02005,67203
4.02938,68912
4.03873,92461
4.04807,185334
4.05742,359701
4.06675,413574
4.07608,307052
4.08543,202039
4.09477,150699
4.1041,129092
4.11345,109783
4.12278,92534
4.13212,82359
4.14147,76947
4.1508,76261
4.16013,75442
4.16948,74032
4.17882,70255
4.18815,64567
4.1975,64816
4.20683,67703
4.21617,70218
4.22552,71995
4.23485,68227
4.2442,66703
4.25353,65456
4.26287,64966
4.27222,67577
4.28155,85259
4.29088,90491
4.30023,85404
4.30957,79563
4.3189,76973
4.32825,94382
4.33758,114233
4.34692,116271
4.35627,97529
4.3656,77789
4.37493,66581
4.38428,72564
4.39362,74487
4.40295,74264
4.4123,65584
4.42163,62540
4.43098,60883
4.44032,58983
4.44965,57324
4.459,57618
4.46833,63434
4.47767,72334
4.48702,86800
4.49635,96430
4.50568,87362
4.51503,73717
4.52437,65223
4.5337,62970
4.54305,64656
4.55238,65739
4.56172,65789
4.57107,64315
4.5804,63776
4.58973,61990
4.59908,59518
4.60842,60904
4.61777,59720
4.6271,58556
4.63643,61521
4.64578,64058
4.65512,68684
4.66445,70724
4.6738,70062
4.68313,68406
4.69247,80843
4.70182,111649
4.71115,162251
4.72048,161453
4.72983,116882
4.73917,94121
4.7485,86132
4.75785,79742
4.76718,70861
4.77652,67425
4.78587,65126
4.7952,65618
4.80455,62444
4.81388,65447
4.82322,64506
4.83257,65269
4.8419,65520
4.85123,67789
4.86058,71715
4.86992,72535
4.87925,84049
4.8886,94529
4.89793,93173
4.90727,82277
4.91662,75145
4.92595,71970
4.93528,65137
4.94463,67285
4.95397,66847
4.9633,63735
4.97265,61557
4.98198,57945
4.99133,59190
5.00067,62072
5.01,61823
5.01935,61613
5.02868,63798
5.03802,67396
5.04737,67728
5.0567,64259
5.06603,64004
5.07538,62556
5.08472,64488
5.09405,67679
5.1034,65183
5.11273,61721
5.12207,59526
5.13142,59611
5.14075,59515
5.1501,64538
5.15943,73482
5.16877,76667
5.17812,70898
5.18745,69252
5.19678,80075
5.20613,79754
5.21547,73819
5.2248,65398
5.23415,64601
5.24348,65354
5.25282,68942
5.26217,64104
5.2715,73649
5.28083,128514
5.29018,246558
5.29952,347204
5.30885,312095
5.3182,199739
5.32753,128849
5.33688,101950
5.34622,90101
5.35555,77212
5.3649,66909
5.37423,60924
5.38357,66393
5.39292,77252
5.40225,84815
5.41158,84416
5.42093,78111
5.43027,70613
5.4396,64819
5.44895,58744
5.45828,60056
5.46762,71858
5.47697,86773
5.4863,84700
5.49563,71152
5.50498,66231
5.51432,65624
5.52367,73893
5.533,97260
5.54233,121156
5.55168,118731
5.56102,92431
5.57035,70618
5.5797,61553
5.58903,59193
5.59837,59196
5.60772,58622
5.61705,59144
5.62638,55052
5.63573,53249
5.64507,56184
5.6544,57417
5.66375,65770
5.67308,76141
5.68242,93026
5.69177,86253
5.7011,74103
5.71045,71999
5.71978,68866
5.72912,67842
5.73847,67167
5.7478,74998
5.75713,86509
5.76648,97959
5.77582,100548
5.78515,92557
5.7945,75087
5.80383,62137
5.81317,58697
5.82252,58827
5.83185,66363
5.84118,78811
5.85053,80771
5.85987,73307
5.86922,66615
5.87855,62220
5.88788,62953
5.89723,54317
5.90657,58848
5.9159,82255
5.92525,129692
5.93458,175475
5.94392,171108
5.95327,152940
5.9626,134222
5.97193,108721
5.98128,81145
5.99062,67559
5.99995,62788
6.0093,59493
6.01863,55871
6.02797,52373
6.03732,44609
6.04665,41242
6.056,38236
6.06533,37337
6.07467,36428
6.08402,36089
6.09335,31772
6.10268,32185
6.11203,31925
6.12137,32511
6.1307,35513
6.14005,47174
6.14938,48514
6.15872,41338
6.16807,35372
6.1774,33221
6.18673,34947
6.19608,38101
6.20542,35401
6.21475,32381
6.2241,33119
6.23343,40243
6.24278,46391
6.25212,43175
6.26145,38506
6.2708,46680
6.28013,66068
6.28947,73004
6.29882,58664
6.30815,39925
6.31748,32889
6.32683,27649
6.33617,28636
6.3455,30215
6.35485,29244
6.36418,30009
6.37352,33896
6.38287,44775
6.3922,79920
6.40153,228084
6.41088,777952
6.42022,1560957
6.42957,1635479
6.4389,966025
6.44823,348591
6.45758,109267
6.46692,53871
6.47625,42424
6.4856,37206
6.49493,36304
6.50427,34013
6.51362,33698
6.52295,34901
6.53228,33939
6.54163,29085
6.55097,31472
6.5603,30979
6.56965,31168
6.57898,32875
6.58832,32327
