(4, 5, 7, 9, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.49328716238960446]
(4, 5, 7, 9, 21, 22, 24, 27, 28, 29, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.49313696013565894]
(4, 5, 7, 9, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 72, 73) [0.9, 0.4911846892111833]
(4, 5, 7, 9, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.4894844888060012]
(4, 5, 7, 8, 9, 21, 22, 24, 27, 28, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.4890888220672651]
(4, 5, 7, 9, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 73) [0.9, 0.48815948862389824]
(4, 5, 7, 8, 9, 21, 22, 24, 27, 28, 29, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 72, 73) [0.9, 0.48659351517687705]
(4, 5, 7, 8, 9, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 72, 73) [0.9, 0.4859222796051299]
(4, 5, 7, 9, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 42, 43, 44, 45, 46, 47, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.4853275489175585]
(4, 5, 7, 8, 9, 21, 22, 24, 27, 28, 29, 30, 31, 32, 33, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.485198632095084]
(4, 5, 7, 8, 9, 21, 22, 24, 25, 27, 28, 30, 31, 32, 33, 42, 43, 44, 45, 46, 47, 50, 51, 53, 55, 57, 63, 64, 66, 72, 73) [0.9, 0.48459775116364323]
