(2, 80, 143) : [1.0, 3.042361440547753e+32],
(2, 80, 170) : [1.0, 3.042361440547753e+32],
(2, 80, 190) : [1.0, 3.042361440547753e+32],
(2, 112, 143) : [1.0, 3.042361440547753e+32],
(2, 112, 170) : [1.0, 3.042361440547753e+32],
(2, 112, 190) : [1.0, 3.042361440547753e+32],
(2, 181, 190) : [1.0, 3.042361440547753e+32],
(53, 118, 156) : [1.0, 2.0282409603651674e+32],
(113, 118, 138) : [1.0, 2.0282409603651674e+32],
(113, 118, 161) : [1.0, 2.0282409603651674e+32],
(113, 159, 161) : [1.0, 2.0282409603651674e+32],
(113, 118, 167) : [1.0, 2.0282409603651674e+32],
(113, 159, 167) : [1.0, 2.0282409603651674e+32],
(113, 162, 167) : [1.0, 2.0282409603651674e+32],
(95, 118, 181) : [1.0, 2.0282409603651674e+32],
(95, 159, 181) : [1.0, 2.0282409603651674e+32],
(95, 162, 181) : [1.0, 2.0282409603651674e+32],
(95, 171, 181) : [1.0, 2.0282409603651674e+32],
(95, 172, 181) : [1.0, 2.0282409603651674e+32],
(95, 177, 181) : [1.0, 2.0282409603651674e+32],
(95, 178, 181) : [1.0, 2.0282409603651674e+32],
(95, 179, 181) : [1.0, 2.0282409603651674e+32],
(143, 159, 181) : [1.0, 2.0282409603651674e+32],
(143, 162, 181) : [1.0, 2.0282409603651674e+32],
(143, 171, 181) : [1.0, 2.0282409603651674e+32],
(143, 172, 181) : [1.0, 2.0282409603651674e+32],
(143, 177, 181) : [1.0, 2.0282409603651674e+32],
(143, 178, 181) : [1.0, 2.0282409603651674e+32],
(143, 179, 181) : [1.0, 2.0282409603651674e+32],
(170, 171, 181) : [1.0, 2.0282409603651674e+32],
(170, 172, 181) : [1.0, 2.0282409603651674e+32],
(170, 177, 181) : [1.0, 2.0282409603651674e+32],
(170, 178, 181) : [1.0, 2.0282409603651674e+32],
(170, 179, 181) : [1.0, 2.0282409603651674e+32],
(95, 112, 118) : [1.0, 1.3521606402434444e+32],
(95, 112, 159) : [1.0, 1.3521606402434444e+32],
(95, 112, 162) : [1.0, 1.3521606402434444e+32],
(95, 112, 171) : [1.0, 1.3521606402434444e+32],
(95, 112, 172) : [1.0, 1.3521606402434444e+32],
(95, 112, 177) : [1.0, 1.3521606402434444e+32],
(95, 112, 178) : [1.0, 1.3521606402434444e+32],
(95, 112, 179) : [1.0, 1.3521606402434444e+32],
(95, 112, 182) : [1.0, 1.3521606402434444e+32],
(95, 112, 183) : [1.0, 1.3521606402434444e+32],
(95, 112, 184) : [1.0, 1.3521606402434444e+32],
(95, 112, 195) : [1.0, 1.3521606402434444e+32],
(95, 181, 182) : [1.0, 1.3521606402434444e+32],
(95, 181, 183) : [1.0, 1.3521606402434444e+32],
(95, 181, 184) : [1.0, 1.3521606402434444e+32],
(95, 181, 195) : [1.0, 1.3521606402434444e+32],
(143, 181, 182) : [1.0, 1.3521606402434444e+32],
(143, 181, 183) : [1.0, 1.3521606402434444e+32],
(143, 181, 184) : [1.0, 1.3521606402434444e+32],
(143, 181, 195) : [1.0, 1.3521606402434444e+32],
(170, 181, 182) : [1.0, 1.3521606402434444e+32],
(170, 181, 183) : [1.0, 1.3521606402434444e+32],
(170, 181, 184) : [1.0, 1.3521606402434444e+32],
(170, 181, 195) : [1.0, 1.3521606402434444e+32],
(3, 38, 53) : [1.0, 1.014120480182583e+32],
(22, 38, 53) : [1.0, 1.014120480182583e+32],
(3, 47, 53) : [1.0, 1.014120480182583e+32],
(22, 47, 53) : [1.0, 1.014120480182583e+32],
(3, 80, 95) : [1.0, 1.014120480182583e+32],
(22, 80, 95) : [1.0, 1.014120480182583e+32],
(3, 80, 143) : [1.0, 1.014120480182583e+32],
(22, 80, 143) : [1.0, 1.014120480182583e+32],
(3, 80, 170) : [1.0, 1.014120480182583e+32],
(22, 80, 170) : [1.0, 1.014120480182583e+32],
(3, 80, 190) : [1.0, 1.014120480182583e+32],
(22, 80, 190) : [1.0, 1.014120480182583e+32],
(3, 112, 143) : [1.0, 1.014120480182583e+32],
(22, 112, 143) : [1.0, 1.014120480182583e+32],
(3, 112, 170) : [1.0, 1.014120480182583e+32],
(22, 112, 170) : [1.0, 1.014120480182583e+32],
(3, 112, 190) : [1.0, 1.014120480182583e+32],
(22, 112, 190) : [1.0, 1.014120480182583e+32],
(3, 181, 190) : [1.0, 1.014120480182583e+32],
(22, 181, 190) : [1.0, 1.014120480182583e+32],
(118, 181, 190) : [1.0, 1.014120480182583e+32],
(159, 181, 190) : [1.0, 1.014120480182583e+32],
(162, 181, 190) : [1.0, 1.014120480182583e+32],
(171, 181, 190) : [1.0, 1.014120480182583e+32],
(172, 181, 190) : [1.0, 1.014120480182583e+32],
(177, 181, 190) : [1.0, 1.014120480182583e+32],
(178, 181, 190) : [1.0, 1.014120480182583e+32],
(179, 181, 190) : [1.0, 1.014120480182583e+32],
(2, 38, 53) : [1.0, 1.0141204801825828e+32],
(2, 47, 53) : [1.0, 1.0141204801825828e+32],
(2, 53, 59) : [1.0, 1.0141204801825828e+32],
