(3, 4, 10, 13, 19, 22, 23, 32, 38, 44, 48, 57, 61, 67, 73, 78, 83, 84, 93, 97, 101, 108, 114, 124, 126, 127, 131, 132) : [1.0, 90026441.09941429],
(3, 4, 10, 13, 19, 22, 23, 32, 38, 44, 48, 57, 61, 67, 73, 78, 83, 84, 93, 97, 101, 108, 114, 124, 126, 127, 131, 133) : [1.0, 90026441.09941429],
(3, 4, 18, 20, 22, 23, 25, 32, 38, 44, 48, 57, 61, 67, 71, 84, 93, 97, 101, 108, 110, 112, 114, 119, 121, 124, 125, 126) : [1.0, 76189405.60960321],
(3, 4, 10, 14, 20, 22, 23, 25, 32, 44, 48, 57, 61, 67, 71, 84, 93, 97, 100, 101, 108, 112, 114, 115, 119, 121, 124, 126) : [1.0, 30203477.872322395],
(3, 4, 14, 22, 23, 25, 32, 44, 48, 57, 61, 67, 69, 71, 84, 93, 97, 100, 101, 108, 112, 114, 115, 119, 121, 124, 125, 126) : [1.0, 18488039.040616248],
(3, 4, 10, 13, 19, 22, 23, 32, 36, 38, 44, 48, 56, 57, 61, 67, 78, 84, 93, 95, 97, 101, 114, 115, 124, 126, 127, 131) : [1.0, 15276051.346774057],
(3, 4, 18, 19, 22, 23, 25, 32, 44, 48, 51, 57, 61, 67, 71, 73, 84, 85, 93, 97, 101, 114, 117, 119, 121, 124, 126, 129) : [1.0, 13775384.751059363],
(3, 4, 10, 20, 22, 23, 25, 32, 44, 48, 57, 61, 67, 71, 82, 84, 93, 97, 100, 101, 108, 112, 114, 115, 119, 121, 124, 126) : [1.0, 13098721.410799488],
(3, 4, 22, 23, 25, 32, 44, 48, 57, 61, 67, 71, 84, 93, 97, 101, 103, 108, 110, 112, 113, 114, 119, 121, 124, 126, 132, 133) : [1.0, 12545983.192294957],
(3, 4, 10, 13, 18, 19, 22, 23, 32, 36, 44, 48, 57, 61, 67, 78, 83, 84, 93, 97, 101, 108, 114, 124, 126, 127, 131, 132) : [1.0, 11699324.55066823],
(3, 4, 10, 13, 18, 19, 22, 23, 32, 36, 44, 48, 57, 61, 67, 78, 83, 84, 93, 97, 101, 108, 114, 124, 126, 127, 131, 133) : [1.0, 11699324.55066823],
(3, 4, 10, 14, 22, 23, 25, 32, 38, 44, 48, 57, 61, 67, 69, 71, 84, 93, 97, 101, 108, 110, 112, 114, 119, 121, 124, 126) : [1.0, 10601128.7903649],
(3, 4, 18, 19, 22, 23, 25, 32, 38, 44, 48, 51, 57, 61, 67, 71, 73, 84, 93, 97, 101, 114, 115, 119, 121, 124, 126, 132) : [1.0, 10425151.92389735],
(3, 4, 18, 19, 22, 23, 25, 32, 38, 44, 48, 51, 57, 61, 67, 71, 73, 84, 93, 97, 101, 114, 115, 119, 121, 124, 126, 133) : [1.0, 10425151.92389735],
(3, 4, 18, 22, 23, 25, 32, 36, 44, 48, 52, 57, 61, 67, 71, 84, 93, 97, 101, 108, 111, 112, 114, 115, 119, 121, 124, 126) : [1.0, 9528576.106485324],
