version: 1
n_points: 68
{
(0, 1, 2, 3, 11, 13, 54) 1.0
(0, 1, 2, 3, 11, 14, 54) 1.0
(0, 1, 2, 3, 11, 19, 54) 1.0
(0, 1, 2, 3, 11, 22, 54) 1.0
(0, 1, 2, 3, 11, 24, 54) 1.0
(0, 1, 2, 3, 11, 25, 54) 1.0
(0, 1, 2, 3, 11, 27, 54) 1.0
(0, 1, 2, 3, 11, 28, 54) 1.0
(0, 1, 2, 3, 11, 29, 54) 1.0
(0, 1, 2, 3, 11, 32, 54) 1.0
(0, 1, 2, 3, 11, 34, 54) 1.0
(0, 1, 2, 3, 11, 45, 54) 1.0
(0, 1, 2, 3, 11, 46, 54) 1.0
(0, 1, 2, 3, 11, 47, 54) 1.0
(0, 1, 2, 3, 11, 50, 54) 1.0
(0, 1, 2, 3, 11, 51, 54) 1.0
(0, 1, 2, 3, 11, 54, 55) 1.0
(0, 1, 2, 3, 11, 54, 58) 1.0
(0, 1, 2, 3, 11, 54, 59) 1.0
(0, 1, 2, 3, 11, 54, 62) 1.0
(0, 1, 2, 3, 11, 54, 63) 1.0
(0, 1, 2, 3, 11, 54, 64) 1.0
(0, 1, 2, 3, 11, 54, 65) 1.0
(0, 1, 2, 3, 11, 54, 68) 1.0
(0, 1, 2, 3, 11, 54, 69) 1.0
(0, 1, 2, 3, 11, 54, 70) 1.0
(0, 1, 2, 3, 11, 54, 71) 1.0
(0, 1, 2, 3, 11, 54, 72) 1.0
(0, 1, 2, 3, 11, 54, 73) 1.0
(0, 1, 2, 3, 11, 54, 74) 1.0
(0, 1, 2, 3, 11, 54, 80) 1.0
(0, 1, 2, 3, 11, 54, 84) 1.0
(0, 1, 2, 3, 11, 54, 86) 1.0
(0, 1, 2, 3, 11, 54, 88) 1.0
(0, 1, 2, 3, 13, 14, 54) 1.0
(0, 1, 2, 3, 13, 19, 54) 1.0
(0, 1, 2, 3, 13, 22, 54) 1.0
(0, 1, 2, 3, 13, 25, 54) 1.0
(0, 1, 2, 3, 13, 28, 54) 1.0
(0, 1, 2, 3, 13, 32, 54) 1.0
(0, 1, 2, 3, 13, 34, 54) 1.0
(0, 1, 2, 3, 13, 45, 54) 1.0
(0, 1, 2, 3, 13, 46, 54) 1.0
(0, 1, 2, 3, 13, 47, 54) 1.0
(0, 1, 2, 3, 13, 50, 54) 1.0
(0, 1, 2, 3, 13, 51, 54) 1.0
(0, 1, 2, 3, 13, 54, 55) 1.0
(0, 1, 2, 3, 13, 54, 58) 1.0
(0, 1, 2, 3, 13, 54, 59) 1.0
(0, 1, 2, 3, 13, 54, 63) 1.0
(0, 1, 2, 3, 13, 54, 64) 1.0
(0, 1, 2, 3, 13, 54, 65) 1.0
(0, 1, 2, 3, 13, 54, 68) 1.0
(0, 1, 2, 3, 13, 54, 69) 1.0
(0, 1, 2, 3, 13, 54, 70) 1.0
(0, 1, 2, 3, 13, 54, 71) 1.0
(0, 1, 2, 3, 13, 54, 73) 1.0
(0, 1, 2, 3, 13, 54, 74) 1.0
(0, 1, 2, 3, 13, 54, 80) 1.0
(0, 1, 2, 3, 13, 54, 86) 1.0
(0, 1, 2, 3, 13, 54, 88) 1.0
(0, 1, 2, 3, 4, 14, 54) 1.0
(0, 1, 2, 3, 7, 14, 54) 1.0
(0, 1, 2, 3, 14, 19, 54) 1.0
(0, 1, 2, 3, 14, 20, 54) 1.0
(0, 1, 2, 3, 14, 22, 54) 1.0
(0, 1, 2, 3, 14, 24, 54) 1.0
(0, 1, 2, 3, 14, 25, 54) 1.0
(0, 1, 2, 3, 14, 27, 54) 1.0
(0, 1, 2, 3, 14, 28, 54) 1.0
(0, 1, 2, 3, 14, 29, 54) 1.0
(0, 1, 2, 3, 14, 32, 54) 1.0
(0, 1, 2, 3, 14, 33, 54) 1.0
(0, 1, 2, 3, 14, 34, 54) 1.0
(0, 1, 2, 3, 14, 45, 54) 1.0
(0, 1, 2, 3, 14, 46, 54) 1.0
(0, 1, 2, 3, 14, 47, 54) 1.0
(0, 1, 2, 3, 14, 50, 54) 1.0
(0, 1, 2, 3, 14, 51, 54) 1.0
(0, 1, 2, 3, 14, 54, 55) 1.0
(0, 1, 2, 3, 14, 54, 58) 1.0
(0, 1, 2, 3, 14, 54, 59) 1.0
(0, 1, 2, 3, 14, 54, 63) 1.0
(0, 1, 2, 3, 14, 54, 64) 1.0
(0, 1, 2, 3, 14, 54, 65) 1.0
(0, 1, 2, 3, 14, 54, 66) 1.0
(0, 1, 2, 3, 14, 54, 68) 1.0
(0, 1, 2, 3, 14, 54, 69) 1.0
(0, 1, 2, 3, 14, 54, 70) 1.0
(0, 1, 2, 3, 14, 54, 71) 1.0
(0, 1, 2, 3, 14, 54, 72) 1.0
}
