D:\数据\20220111\ZS1E-Z-000285.D Tue Jan 11 18:56:24 2022
Start of data points
0.09767,23374
0.10700,23906
0.11635,23619
0.12568,24282
0.13502,23257
0.14437,23744
0.15370,23957
0.16303,24605
0.17238,23425
0.18172,23240
0.19105,23377
0.20040,22922
0.20973,22491
0.21907,22183
0.22842,21376
0.23775,22774
0.24708,22211
0.25643,21815
0.26577,22186
0.27510,22512
0.28445,22245
0.29378,22736
0.30313,21678
0.31247,22560
0.32180,22784
0.33115,22193
0.34048,22118
0.34982,23106
0.35917,21981
0.36850,23354
0.37783,21608
0.38718,21884
0.39652,22902
0.40585,21589
0.41520,21717
0.42453,21513
0.43387,21675
0.44322,21838
0.45255,21841
0.46190,18777
0.47123,15389
0.48057,12231
0.48992,8306
0.49925,5898
0.50858,5884
0.51793,5190
0.52727,6338
0.53660,5867
0.54595,5381
0.55528,5548
0.56462,5243
0.57397,5137
0.58330,5504
0.59263,4950
0.60198,4994
0.61132,5385
0.62065,4658
0.63000,4273
0.63933,5043
0.64868,5446
0.65802,4952
0.66735,4934
0.67670,5003
0.68603,5161
0.69537,4878
0.70472,4981
0.71405,4850
0.72338,5139
0.73273,4695
0.74207,4638
0.75140,4751
0.76075,4661
0.77008,4963
0.77942,4511
0.78877,4809
0.79810,5033
0.80743,4805
0.81678,5103
0.82612,4747
0.83547,5478
0.84480,4728
0.85413,4772
0.86348,5204
0.87282,5091
0.88215,4556
0.89150,4422
0.90083,4550
0.91017,4694
0.91952,5184
0.92885,4571
0.93818,4768
0.94753,4274
0.95687,4725
0.96620,4889
0.97555,4599
0.98488,3753
0.99422,4746
1.00357,4635
1.01290,4899
1.02225,4651
1.03158,4945
1.04092,4950
1.05027,4585
1.05960,4545
1.06893,5272
1.07828,5616
1.08762,4511
1.09695,4848
1.10630,4554
1.11563,4271
1.12497,4555
1.13432,4213
1.14365,4124
1.15298,4067
1.16233,4736
1.17167,4609
1.18102,5049
1.19035,4762
1.19968,4142
1.20903,4841
1.21837,4771
1.22770,4551
1.23705,4533
1.24638,4485
1.25572,4396
1.26507,4198
1.27440,5009
1.28373,4764
1.29308,4861
1.30242,4516
1.31175,4001
1.32110,4307
1.33043,4600
1.33977,4495
1.34912,4691
1.35845,4594
1.36780,4700
1.37713,4659
1.38647,4430
1.39582,4311
1.40515,4110
1.41448,3961
1.42383,4470
1.43317,4031
1.44250,4494
1.45185,4095
1.46118,4392
1.47052,3984
1.47987,3735
1.48920,4758
1.49853,4640
1.50788,4180
1.51722,4494
1.52655,4351
1.53590,4398
1.54523,4440
1.55458,3786
1.56392,4006
1.57325,4454
1.58260,4852
1.59193,4345
1.60127,4161
1.61062,4618
1.61995,7186
1.62928,13022
1.63863,19107
1.64797,22194
1.65730,31097
1.66665,44809
1.67598,55112
1.68532,57360
1.69467,53300
1.70400,41916
1.71333,30599
1.72268,19648
1.73202,17363
1.74137,19495
1.75070,20944
1.76003,22569
1.76938,24751
1.77872,25668
1.78805,27480
1.79740,27898
1.80673,27133
1.81607,27752
1.82542,26945
1.83475,27858
1.84408,25791
1.85343,27624
1.86277,27771
1.87210,30168
1.88145,36191
1.89078,48089
1.90012,62894
1.90947,80860
1.91880,97684
1.92815,123431
1.93748,157686
1.94682,201714
1.95617,233905
1.96550,232734
1.97483,205863
1.98418,159925
1.99352,126581
2.00285,107767
2.01220,98393
2.02153,99883
2.03087,106077
2.04022,97523
2.04955,80539
2.05888,67315
2.06823,57604
2.07757,60194
2.08692,71079
2.09625,75682
2.10558,60045
2.11493,51316
2.12427,58581
2.13360,140477
2.14295,272894
2.15228,255838
2.16162,184089
2.17097,123661
2.18030,94330
2.18963,105997
2.19898,114482
2.20832,87924
2.21765,69424
2.22700,79752
2.23633,120018
2.24567,165482
2.25502,634747
2.26435,1859586
2.27370,1934678
2.28303,1367450
2.29237,852402
2.30172,861040
2.31105,3238503
2.32038,7897003
2.32973,8017501
2.33907,4526121
2.34840,1966787
2.35775,826738
2.36708,386193
2.37642,214458
2.38577,149670
2.39510,120966
2.40443,105846
2.41378,97956
2.42312,83936
2.43245,73032
2.44180,62535
2.45113,59606
2.46048,53695
2.46982,53724
2.47915,49982
2.48850,48771
2.49783,45197
2.50717,43757
2.51652,41622
2.52585,42023
2.53518,44675
2.54453,50693
2.55387,56936
2.56320,62619
2.57255,366961
2.58188,387186
2.59122,298148
2.60057,216636
2.60990,158267
2.61923,132811
2.62858,114488
2.63792,97325
2.64727,94991
2.65660,91298
2.66593,81415
2.67528,64824
2.68462,57607
2.69395,51369
2.70330,48994
2.71263,51510
2.72197,57405
2.73132,66765
2.74065,72212
2.74998,76546
2.75933,79697
2.76867,81210
2.77800,101880
2.78735,130581
2.79668,140663
2.80603,116496
2.81537,91140
2.82470,76637
2.83405,68957
2.84338,64099
2.85272,69502
2.86207,76000
2.87140,71191
2.88073,74563
2.89008,70444
2.89942,63623
2.90875,56719
2.91810,54130
2.92743,51658
2.93677,47869
2.94612,42967
2.95545,40557
2.96478,40706
2.97413,40005
2.98347,43832
2.99282,60275
3.00215,90161
3.01148,95441
3.02083,80096
3.03017,59408
3.03950,47760
3.04885,52476
3.05818,61428
3.06752,74878
3.07687,75238
3.08620,62826
3.09553,51253
3.10488,42095
3.11422,38113
3.12355,38188
3.13290,39201
3.14223,38858
3.15157,40600
3.16092,43016
3.17025,43029
3.17960,39414
3.18893,37972
3.19827,36360
3.20762,34617
3.21695,36277
3.22628,36203
3.23563,36658
3.24497,36383
3.25430,36466
3.26365,36275
3.27298,36152
3.28232,34041
3.29167,36125
