Var1,Rt,TArea,Theight,Tstart,Tend
1,0.591666666666667,13.2595189512635,2.11326857277598,0.579166666666667,0.6375
2,0.675,12.6707839860302,3.15937584894784,0.658333333333333,0.683333333333333
3,0.7,52.0841792222828,9.01687441902647,0.683333333333333,0.775
4,0.791666666666667,1.49992208069875,0.409439939696675,0.775,0.8
5,0.816666666666667,4.9694524443042,0.796495751811047,0.8,0.845833333333333
6,0.8625,1.44135922627053,0.345855038649687,0.845833333333333,0.870833333333333
7,0.920833333333333,9.77784457520347,1.58624764688648,0.891666666666667,1.02083333333333
8,1.04583333333333,3.25703658668936,0.503582223151835,1.02083333333333,1.12916666666667
9,1.14166666666667,0.077493515789536,0.0179622732866631,1.12916666666667,1.15833333333333
10,1.18333333333333,0.0660773289928853,0.012298498976459,1.1625,1.20416666666667
11,1.22916666666667,2.04511124291966,0.310051608879912,1.20416666666667,1.27083333333333
12,1.30416666666667,4.31256712706017,0.682916495576832,1.27083333333333,1.32916666666667
13,1.3375,2.10444661467333,0.170731674220058,1.32916666666667,1.4125
14,1.44166666666667,0.748249663216477,0.0908301042940518,1.4125,1.45416666666667
15,1.47083333333333,0.893809412208388,0.0987459110705883,1.45416666666667,1.51666666666667
16,1.55,1.46044707310846,0.162511266883553,1.51666666666667,1.60833333333333
17,1.63333333333333,0.274631792102795,0.0255952008646892,1.60833333333333,1.66666666666667
18,1.7,0.327691801704266,0.0241707821063597,1.66666666666667,1.75416666666667
19,1.825,1.73962221723706,0.264958443238731,1.79166666666667,1.87083333333333
20,1.95,3.2528858230973,0.275282094235674,1.87916666666667,2.025
21,2.07083333333333,6.23986690136191,0.853113551651067,2.025,2.14166666666667
22,2.20833333333333,20.684148593961,2.03522413315811,2.14166666666667,2.25
23,2.325,55.8595108256681,5.03954360637039,2.25,2.35833333333333
24,2.38333333333333,5.77287871792086,0.642210888886372,2.35833333333333,2.425
25,2.48333333333333,39.4465559893967,4.34012700067386,2.425,2.52916666666667
26,2.54583333333333,2.62392289499637,0.248996104052918,2.52916666666667,2.59583333333333
27,2.67083333333333,16.8612229131313,1.50632687787971,2.59583333333333,2.76666666666667
28,2.86666666666667,31.1834422453898,2.45412505291935,2.77083333333333,2.94583333333333
29,3.01666666666667,6.07510827398144,0.508528147031525,2.94583333333333,3.04166666666667
30,3.075,8.99315288537814,0.799949666305008,3.04166666666667,3.15416666666667
31,3.22916666666667,15.4672604060019,1.13331830587867,3.15416666666667,3.27083333333333
32,3.39583333333333,38.7334318336153,1.83570446451304,3.27083333333333,3.425
33,3.44583333333333,2.90948941278564,0.377740164285454,3.425,3.4625
34,3.52916666666667,20.1860126312527,1.35044955421934,3.4625,3.5875
35,3.67083333333333,18.9385209974253,1.48088865411184,3.5875,3.775
36,3.85,4.54132801642976,0.38829755101741,3.7875,3.91666666666667
37,3.95416666666667,0.941824832799911,0.0811244542439726,3.91666666666667,4
38,4.04166666666667,1.46993839333069,0.112295454948745,4,4.11666666666667
39,4.19166666666667,5.13449103973093,0.429865028538909,4.11666666666667,4.24583333333333
40,4.30833333333333,0.861551413004458,0.0593006216442997,4.24583333333333,4.36666666666667
41,4.42083333333333,1.87682257817955,0.177688689511122,4.36666666666667,4.45416666666667
42,4.46666666666667,0.929421950317781,0.0970598433815183,4.45416666666667,4.52916666666667
43,4.57916666666667,0.647721201352452,0.0608115309691153,4.52916666666667,4.61666666666667
44,4.7,4.67102151666107,0.293978049435333,4.61666666666667,4.79166666666667
45,4.82083333333333,0.284266360368536,0.0353782752976283,4.79166666666667,4.85416666666667
46,4.90416666666667,0.843944533809472,0.10217418472387,4.85833333333333,4.91666666666667
47,4.95,2.99127699738044,0.195936525122197,4.91666666666667,5.02916666666667
48,5.1,15.6118078017625,1.19795554516694,5.02916666666667,5.15416666666667
49,5.20416666666667,12.3664062597281,1.06982295897583,5.15416666666667,5.2375
50,5.27916666666667,15.1522729083094,1.36826717538612,5.2375,5.3375
51,5.40833333333333,16.0568047176267,1.44183309043317,5.3375,5.44583333333333
52,5.47083333333333,2.90740228530454,0.266964484570294,5.44583333333333,5.55416666666667
53,5.675,9.16578683437603,0.862953573625403,5.60833333333333,5.73333333333333
54,5.75416666666667,0.592116339406241,0.0438105983566035,5.73333333333333,5.81666666666667
55,5.85,0.368499234009319,0.0374414262621914,5.81666666666667,5.89583333333333
56,5.97083333333333,0.528988772954924,0.0392327343960363,5.92083333333333,6.05
57,6.125,2.18747642568343,0.17495351379904,6.05416666666667,6.2125
58,6.25416666666667,0.352336865609348,0.0321260160162771,6.2125,6.3125
59,6.35833333333333,0.115117025598219,0.0141331649972176,6.31666666666667,6.3875
60,6.53333333333333,0.463582382095159,0.0436085381886477,6.4875,6.57916666666667
61,6.66666666666667,0.690601100613337,0.0494128549811216,6.58333333333333,6.70833333333333
62,6.75833333333333,0.972914362979297,0.0863062466629178,6.70833333333333,6.82083333333333
63,6.85833333333333,0.330620551459029,0.040319702510877,6.82083333333333,6.89166666666667
64,7.0625,0.619080775251848,0.054291125840505,6.99583333333333,7.1125
65,7.1875,12.0881674237126,0.996199907401349,7.1125,7.30833333333333
66,7.36666666666667,0.443290572648825,0.0320495641550916,7.30833333333333,7.4125
67,7.47916666666667,3.66480117591212,0.349951583820249,7.42916666666667,7.55416666666667
68,7.57916666666667,0.141989633900417,0.0193260035844962,7.55416666666667,7.60833333333333
69,7.725,2.98457935638563,0.166754203220422,7.62916666666667,7.7875
70,7.8625,3.88715306868206,0.279050844696834,7.7875,7.89583333333333
71,7.9375,5.95683063714053,0.26944842470419,7.89583333333333,8.05
72,8.08333333333333,0.86433970393517,0.0702621262896437,8.05,8.1375
73,8.16666666666667,0.150079022115887,0.0159861475811661,8.1375,8.21666666666667
74,8.33333333333333,3.98998870586869,0.320827660280721,8.275,8.45416666666667
75,8.5,0.315559801334441,0.0302772178999599,8.45833333333333,8.52916666666667
76,8.575,0.878012094051841,0.06161502509177,8.52916666666667,8.61666666666667
77,8.69166666666667,12.3285121456936,0.84358046768419,8.61666666666667,8.77916666666667
